 Óbitos infantis - Brasil
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"521250 Luziânia";34
"521270 Mambaí";1
"521280 Mara Rosa";2
"521290 Marzagão";1
"521295 Matrinchã";1
"521300 Maurilândia";1
"521305 Mimoso de Goiás";2
"521308 Minaçu";2
"521310 Mineiros";17
"521350 Monte Alegre de Goiás";1
"521370 Montes Claros de Goiás";1
"521375 Montividiu";2
"521377 Montividiu do Norte";1
"521380 Morrinhos";10
"521385 Morro Agudo de Goiás";1
"521400 Mozarlândia";5
"521440 Nazário";2
"521450 Nerópolis";5
"521460 Niquelândia";8
"521470 Nova América";1
"521486 Nova Glória";2
"521487 Nova Iguaçu de Goiás";1
"521490 Nova Roma";1
"521523 Novo Gama";21
"521530 Orizona";3
"521560 Padre Bernardo";7
"521570 Palmeiras de Goiás";3
"521590 Palminópolis";1
"521630 Paranaiguara";2
"521640 Paraúna";3
"521680 Petrolina de Goiás";1
"521720 Piranhas";4
"521730 Pirenópolis";3
"521740 Pires do Rio";8
"521760 Planaltina";16
"521770 Pontalina";5
"521800 Porangatu";6
"521810 Portelândia";3
"521830 Posse";4
"521839 Professor Jamil";1
"521850 Quirinópolis";7
"521860 Rialma";5
"521870 Rianápolis";1
"521878 Rio Quente";1
"521880 Rio Verde";59
"521890 Rubiataba";3
"521930 Santa Helena de Goiás";10
"521970 Santa Terezinha de Goiás";1
"521973 Santo Antônio de Goiás";1
"521975 Santo Antônio do Descoberto";20
"521980 São Domingos";1
"521990 São Francisco de Goiás";3
"522000 São João d'Aliança";3
"522010 São Luís de Montes Belos";3
"522015 São Luíz do Norte";1
"522020 São Miguel do Araguaia";5
"522026 São Miguel do Passa Quatro";1
"522040 São Simão";5
"522045 Senador Canedo";29
"522050 Serranópolis";2
"522060 Silvânia";3
"522068 Simolândia";1
"522070 Sítio d'Abadia";1
"522119 Terezópolis de Goiás";3
"522140 Trindade";17
"522145 Trombas";1
"522160 Uruaçu";4
"522170 Uruana";2
"522185 Valparaíso de Goiás";37
"522190 Varjão";1
"522200 Vianópolis";2
"522205 Vicentinópolis";2
"522220 Vila Boa";1
"522230 Vila Propício";1
"520000 Município ignorado - GO";1
"530010 Brasília";453
"Total";35864
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
